VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2019-10-01 07:24:53,2019-10-01 07:33:07,N,1.0,74,75,1.0,1.31,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2019-10-01 07:39:09,2019-10-01 07:48:56,N,1.0,43,237,1.0,1.72,8.5,0.0,0.5,0.0,0.0,,0.3,12.05,2.0,1.0,2.75
1.0,2019-10-01 07:40:20,2019-10-01 08:04:41,N,1.0,76,155,1.0,0.0,26.2,0.0,0.5,0.0,0.0,,0.3,27.0,1.0,1.0,0.0
2.0,2019-10-01 07:30:20,2019-10-01 07:41:27,N,1.0,42,152,2.0,1.6,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,1.0,1.0,0.0
2.0,2019-10-01 07:55:13,2019-10-01 08:05:26,N,1.0,42,75,2.0,2.22,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,1.0,1.0,0.0
2.0,2019-10-01 07:47:42,2019-10-01 09:06:49,N,1.0,227,254,1.0,25.51,75.0,0.0,0.5,0.0,0.0,,0.3,75.8,1.0,1.0,0.0
2.0,2019-10-01 07:34:27,2019-10-01 07:56:14,N,1.0,152,50,1.0,6.0,20.0,0.0,0.5,2.0,0.0,,0.3,25.55,1.0,1.0,2.75
2.0,2019-10-01 07:17:23,2019-10-01 07:40:00,N,1.0,43,68,1.0,4.91,18.0,0.0,0.5,2.5,0.0,,0.3,24.05,1.0,1.0,2.75
2.0,2019-10-01 07:26:17,2019-10-01 07:31:38,N,1.0,95,95,1.0,1.1,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2019-10-01 07:38:17,2019-10-01 07:47:19,N,1.0,74,42,1.0,1.91,8.5,0.0,0.5,2.79,0.0,,0.3,12.09,1.0,1.0,0.0
2.0,2019-10-01 07:39:09,2019-10-01 07:48:20,N,1.0,42,74,1.0,1.14,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
1.0,2019-10-01 07:40:14,2019-10-01 07:40:28,N,1.0,18,18,1.0,0.0,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
1.0,2019-10-01 07:46:32,2019-10-01 07:56:30,N,1.0,174,248,1.0,4.1,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2.0,1.0,0.0
2.0,2019-10-01 07:35:17,2019-10-01 07:41:12,N,1.0,75,74,1.0,1.52,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2019-10-01 07:45:52,2019-10-01 07:48:57,N,1.0,74,74,1.0,0.28,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,0.0
2.0,2019-10-01 07:55:24,2019-10-01 08:20:38,N,1.0,74,107,1.0,6.76,23.5,0.0,0.5,4.0,0.0,,0.3,31.05,1.0,1.0,2.75
2.0,2019-10-01 07:34:54,2019-10-01 07:39:43,N,1.0,49,65,1.0,1.03,5.5,0.0,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,0.0
2.0,2019-10-01 07:20:14,2019-10-01 07:36:33,N,1.0,74,244,1.0,3.19,13.5,0.0,0.5,2.14,0.0,,0.3,16.44,1.0,1.0,0.0
2.0,2019-10-01 07:01:59,2019-10-01 07:06:47,N,1.0,75,238,1.0,1.14,6.0,0.0,0.5,1.2,0.0,,0.3,8.0,1.0,1.0,0.0
2.0,2019-10-01 07:25:08,2019-10-01 07:38:59,N,1.0,74,244,1.0,4.24,15.5,0.0,0.5,1.0,0.0,,0.3,17.3,1.0,1.0,0.0
2.0,2019-10-01 07:47:22,2019-10-01 07:54:35,N,1.0,75,74,1.0,1.84,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
1.0,2019-10-01 07:37:33,2019-10-01 08:12:36,N,1.0,72,112,1.0,0.0,26.2,0.0,0.5,0.0,0.0,,0.3,27.0,1.0,1.0,0.0
2.0,2019-10-01 07:37:51,2019-10-01 07:48:21,N,1.0,74,75,1.0,1.37,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 07:49:26,2019-10-01 07:56:18,N,1.0,75,238,1.0,1.32,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2019-10-01 07:39:27,2019-10-01 07:42:49,N,1.0,41,166,1.0,0.74,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2019-10-01 07:53:39,2019-10-01 07:58:06,N,1.0,166,238,1.0,0.99,5.5,0.0,0.5,1.81,0.0,,0.3,10.86,1.0,1.0,2.75
2.0,2019-10-01 08:00:10,2019-10-01 08:08:10,N,1.0,188,61,1.0,2.03,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 07:57:58,2019-10-01 08:03:01,N,1.0,42,74,1.0,1.48,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2019-10-01 07:49:02,2019-10-01 07:51:19,N,1.0,42,41,1.0,0.39,3.5,0.0,0.5,2.7,0.0,,0.3,7.0,1.0,1.0,0.0
2.0,2019-10-01 07:39:33,2019-10-01 07:53:51,N,1.0,244,166,1.0,2.46,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2.0,1.0,0.0
2.0,2019-10-01 07:33:22,2019-10-01 07:50:00,N,1.0,66,233,1.0,5.47,18.5,0.0,0.5,2.65,0.0,,0.3,24.7,1.0,1.0,2.75
2.0,2019-10-01 07:04:54,2019-10-01 07:11:17,N,1.0,41,166,1.0,0.94,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,0.0
2.0,2019-10-01 07:39:21,2019-10-01 07:50:02,N,1.0,74,152,1.0,1.52,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,0.0
2.0,2019-10-01 07:52:00,2019-10-01 07:58:24,N,1.0,152,151,1.0,1.85,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,1.0,1.0,0.0
